2025-04-04 05:32:25,951 INFO  ExportHelperExtension.cs: 1402 - Fixing 44
2025-04-04 05:32:25,952 INFO  ExportHelperExtension.cs: 1409 - Component 44 is already fixed
2025-04-04 05:32:25,952 INFO  ExportHelperExtension.cs: 1402 - Fixing 35
2025-04-04 05:32:25,952 INFO  ExportHelperExtension.cs: 1409 - Component 35 is already fixed
2025-04-04 05:32:25,953 INFO  ExportHelperExtension.cs: 1402 - Fixing 40
2025-04-04 05:32:25,953 INFO  ExportHelperExtension.cs: 1409 - Component 40 is already fixed
2025-04-04 05:32:25,954 INFO  ExportHelperExtension.cs: 1402 - Fixing 32
2025-04-04 05:32:25,954 INFO  ExportHelperExtension.cs: 1409 - Component 32 is already fixed
2025-04-04 05:32:25,954 INFO  ExportHelperExtension.cs: 1402 - Fixing 28
2025-04-04 05:32:25,955 INFO  ExportHelperExtension.cs: 1409 - Component 28 is already fixed
2025-04-04 05:32:25,955 INFO  ExportHelperExtension.cs: 1402 - Fixing 35
2025-04-04 05:32:25,955 INFO  ExportHelperExtension.cs: 1409 - Component 35 is already fixed
2025-04-04 05:32:25,956 INFO  ExportHelperExtension.cs: 1402 - Fixing 29
2025-04-04 05:32:25,956 INFO  ExportHelperExtension.cs: 1409 - Component 29 is already fixed
2025-04-04 05:32:25,956 INFO  ExportHelperExtension.cs: 1402 - Fixing 44
2025-04-04 05:32:25,957 INFO  ExportHelperExtension.cs: 1409 - Component 44 is already fixed
2025-04-04 05:32:25,957 INFO  ExportHelperExtension.cs: 1402 - Fixing 46
2025-04-04 05:32:25,957 INFO  ExportHelperExtension.cs: 1409 - Component 46 is already fixed
2025-04-04 05:32:25,958 INFO  ExportHelperExtension.cs: 1402 - Fixing 47
2025-04-04 05:32:25,958 INFO  ExportHelperExtension.cs: 1409 - Component 47 is already fixed
2025-04-04 05:32:25,959 INFO  ExportHelperExtension.cs: 1402 - Fixing 45
2025-04-04 05:32:25,959 INFO  ExportHelperExtension.cs: 1409 - Component 45 is already fixed
2025-04-04 05:32:25,959 INFO  ExportHelperExtension.cs: 1402 - Fixing 51
2025-04-04 05:32:25,960 INFO  ExportHelperExtension.cs: 1409 - Component 51 is already fixed
2025-04-04 05:32:25,960 INFO  ExportHelperExtension.cs: 1402 - Fixing 49
2025-04-04 05:32:25,960 INFO  ExportHelperExtension.cs: 1409 - Component 49 is already fixed
2025-04-04 05:32:25,961 INFO  ExportHelperExtension.cs: 1402 - Fixing 50
2025-04-04 05:32:25,961 INFO  ExportHelperExtension.cs: 1409 - Component 50 is already fixed
2025-04-04 05:32:25,961 INFO  ExportHelperExtension.cs: 1402 - Fixing 36
2025-04-04 05:32:25,962 INFO  ExportHelperExtension.cs: 1409 - Component 36 is already fixed
2025-04-04 05:32:25,962 INFO  ExportHelperExtension.cs: 1402 - Fixing 27
2025-04-04 05:32:25,962 INFO  ExportHelperExtension.cs: 1409 - Component 27 is already fixed
2025-04-04 05:32:25,963 INFO  ExportHelperExtension.cs: 1402 - Fixing 34
2025-04-04 05:32:25,963 INFO  ExportHelperExtension.cs: 1409 - Component 34 is already fixed
2025-04-04 05:32:25,963 INFO  ExportHelperExtension.cs: 1402 - Fixing 26
2025-04-04 05:32:25,964 INFO  ExportHelperExtension.cs: 1409 - Component 26 is already fixed
2025-04-04 05:32:25,964 INFO  ExportHelperExtension.cs: 1402 - Fixing 29
2025-04-04 05:32:25,964 INFO  ExportHelperExtension.cs: 1409 - Component 29 is already fixed
2025-04-04 05:32:25,965 INFO  ExportHelperExtension.cs: 1402 - Fixing 34
2025-04-04 05:32:25,965 INFO  ExportHelperExtension.cs: 1409 - Component 34 is already fixed
2025-04-04 05:32:25,966 INFO  ExportHelperExtension.cs: 1402 - Fixing 40
2025-04-04 05:32:25,966 INFO  ExportHelperExtension.cs: 1409 - Component 40 is already fixed
2025-04-04 05:32:25,966 INFO  ExportHelperExtension.cs: 1402 - Fixing 37
2025-04-04 05:32:25,967 INFO  ExportHelperExtension.cs: 1409 - Component 37 is already fixed
2025-04-04 05:32:25,967 INFO  ExportHelperExtension.cs: 1402 - Fixing 30
2025-04-04 05:32:25,967 INFO  ExportHelperExtension.cs: 1409 - Component 30 is already fixed
2025-04-04 05:32:25,968 INFO  ExportHelperExtension.cs: 1402 - Fixing 35
2025-04-04 05:32:25,968 INFO  ExportHelperExtension.cs: 1409 - Component 35 is already fixed
2025-04-04 05:32:25,968 INFO  ExportHelperExtension.cs: 1402 - Fixing 33
2025-04-04 05:32:25,969 INFO  ExportHelperExtension.cs: 1409 - Component 33 is already fixed
2025-04-04 05:32:25,969 INFO  ExportHelperExtension.cs: 1402 - Fixing 26
2025-04-04 05:32:25,969 INFO  ExportHelperExtension.cs: 1409 - Component 26 is already fixed
2025-04-04 05:32:25,970 INFO  ExportHelperExtension.cs: 1402 - Fixing 52
2025-04-04 05:32:25,970 INFO  ExportHelperExtension.cs: 1409 - Component 52 is already fixed
